Source	Target
YJL166W	GO:0006122
YEL024W	GO:0006122
GO:0005739	GO:0005750
GO:0009167	GO:0009123
GO:0044281	GO:0044710
GO:0009161	GO:0009167
GO:1901360	GO:0071704
GO:0044710	GO:0044699
GO:0005750	GO:1902495
GO:0022900	GO:0044763
GO:0022904	GO:0022900
GO:1902495	GO:0044425
GO:0044425	GO:0005575
GO:0008150	GO:00SUPER
GO:0008152	GO:0044710
GO:0006753	GO:0055086
GO:0009123	GO:0006753
GO:0044699	GO:0008150
GO:0044763	GO:0044699
GO:0055086	GO:0044763
GO:0006122	GO:0022904
GO:0071704	GO:0008152
GO:0005575	GO:00SUPER
